SMILES,BACE1
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15410987
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.15410987
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.15410987
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15410987
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.3487387
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.3487387
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.3487387
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.3487387
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.03955585
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.03955585
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.15675616
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.46186018
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.46186018
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.46186018
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.46186018
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.5010208
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.5010208
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.5010208
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.5010208
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2947199
