SMILES,MTOR
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.03488081
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.04513202
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.04513202
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.27387875
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.029191187
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.029191187
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.029191187
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.029191187
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.070309296
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.070309296
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.070309296
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.070309296
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.04576565
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.04576565
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04576565
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04576565
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.041654117
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.041654117
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.041654117
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.041654117
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.031968232
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.031968232
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.031968232
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.031968232
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.040896736
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.040896736
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.040896736
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.040896736
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.068657406
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.068657406
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.068657406
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.068657406
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.02603744
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.02603744
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.02603744
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.02603744
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.011603266
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.011603266
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.023824986
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06998158
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.06998158
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.06998158
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.069981575
