SMILES,TTK
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.038305644
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.042796146
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.042796146
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.042796146
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.042796146
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.0356589
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.0356589
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.0356589
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.0356589
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.059681
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.059681
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.059681
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.059681
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.035598528
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.035598528
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.035598528
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.035598528
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.040386908
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.040386908
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.040386908
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.040386908
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.032391213
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.032391213
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.032391213
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.032391213
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.17185321
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.17185321
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.04469838
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.029903164
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.029903164
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.029903164
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.029903136
