SMILES,ZAP70
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.25775838
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.25775838
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.12899353
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.17032833
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.17032833
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.17032833
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.17032833
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.21658576
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.21658576
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.21658576
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.21658576
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.22585884
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.22585884
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22585884
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22585884
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.221669
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.221669
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.221669
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.221669
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.17241532
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.17241532
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.17241532
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.17241532
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18571986
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18571986
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.18571986
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.18571986
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.26041916
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26041916
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26041916
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.26041916
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.1382953
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.1382953
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.1382953
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.1382953
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.19424808
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.19424808
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.17531164
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20593439
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.20593439
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.20593439
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2059344
