SMILES,NR1H2
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.22263946
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.22263946
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.22263946
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.25936365
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.25936365
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.25936365
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.25936365
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14017692
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14017692
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14017692
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14017692
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25388107
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.25388107
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.25388107
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25388107
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.30588347
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.30588347
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.30588347
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.30588347
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26145545
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26145545
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.26145545
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.26145545
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.30915874
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.30915874
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.30915874
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.30915874
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.38344613
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.38344613
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.38344613
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.38344613
