SMILES,WEE1
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.11394588
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.034090348
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.034090348
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.034090348
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.034090348
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.05676112
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.05676112
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.05676112
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.05676112
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.036816504
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.036816504
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.036816504
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.036816504
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.024436967
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.024436967
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.025902404
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.037903797
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.037903797
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.037903797
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.037903816
