SMILES,PLK1
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.28677946
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.07838843
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.07838843
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.07838843
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.07838843
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.085457355
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.085457355
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.085457355
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.085457355
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.09485734
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.09485734
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.09485734
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.09485734
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.1817286
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.1817286
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.26558596
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.13023217
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.13023217
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.13023217
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.13023217
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.09058261
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.09058261
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.09058261
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.09058261
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14249243
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14249243
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14249243
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14249243
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09858361
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.09858361
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.09858361
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09858361
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.09843538
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.09843538
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.09843538
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.09843538
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.056508515
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.056508515
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.056508515
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.056508515
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.12786213
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12786213
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12786213
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.12786213
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.051204707
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.051204707
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.051204707
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.051204707
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.32129776
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.32129776
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.15984502
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04422544
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.04422544
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.04422544
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04422544
