SMILES,ROCK1
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.07573967
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.07573967
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.07573967
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.07573967
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.10621654
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.10621654
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.10621654
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.10621654
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.07485474
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.07485474
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07485474
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07485474
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06785141
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.06785141
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.06785141
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06785141
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.07713845
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.07713845
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.07713845
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.07713845
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.043214362
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.043214362
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.043214362
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.043214362
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.0587413
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.0587413
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.0587413
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.0587413
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.043742932
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.043742932
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.043742932
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.043742932
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.10423476
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.10423476
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.09282708
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.060474463
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.060474463
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.060474463
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.060474448
