SMILES,PPARG
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.12248127
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.14927305
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.013096836
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.013096836
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.013096836
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.013096836
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.0053969193
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.0053969193
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.0053969193
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.0053969193
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.0110438345
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.0110438345
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.0110438345
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.0110438345
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.0031840925
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.0031840925
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.0849659
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.004500012
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.004500012
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.004500012
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.004500012
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.0031680837
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.0031680837
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.0031680837
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.0031680837
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.03656627
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.03656627
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.03656627
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.03656627
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.023406805
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.023406805
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.023406805
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.023406805
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.036513235
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.036513235
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.036513235
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.036513235
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04639297
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04639297
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.04639297
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.04639297
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1555032
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1555032
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1555032
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1555032
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.0057608527
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.0057608527
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.0057608527
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.0057608527
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.033558298
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.033558298
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.6224211
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16485289
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.16485289
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.16485289
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16485289
