SMILES,ESR1
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.1693046
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.1693046
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.1693046
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.1693046
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.1244573
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.1244573
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.11212556
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.03880059
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.03880059
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.03880059
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.03880059
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.15592854
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.15592854
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.15592854
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.15592854
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.18187726
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.18187726
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18187726
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18187726
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22175221
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.22175221
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.22175221
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22175221
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.17475747
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.17475747
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.17475747
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.17475747
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15452692
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15452692
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.15452692
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.15452692
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.387821
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.387821
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.387821
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.387821
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.032121077
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.032121077
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.032121077
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.032121077
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.12368506
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.12368506
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.20462623
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2511606
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2511606
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2511606
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25116053
