SMILES,TNKS2
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.25587255
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.25947088
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.25947088
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.30589485
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.18832287
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.18832287
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.18832287
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.18832287
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.2778642
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.2778642
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.2778642
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.2778642
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.33993825
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.33993825
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33993825
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33993825
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.27045923
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.27045923
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.27045923
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.27045923
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.23338725
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.23338725
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.23338725
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.23338725
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3442794
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3442794
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.3442794
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.3442794
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.31287226
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.31287226
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.31287226
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.31287226
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.19128887
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.19128887
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.19128887
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.19128887
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.27847332
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.27847332
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.38263586
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3751881
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.3751881
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.3751881
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.37518817
