SMILES,LYN
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.18013002
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.21447061
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.21447061
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.21447061
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.21447061
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.10733405
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.17692974
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.1847178
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.20759799
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.20759799
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.20759799
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.20759799
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.22549923
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.22549923
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.22549923
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.22549923
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.20277134
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.20277134
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.20277134
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.20277134
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.11705457
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.11705457
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.24180049
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.17033432
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.17033432
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.17033432
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.17033432
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.21561301
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.21561301
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.21561301
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.21561301
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.16556703
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.16556703
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16556703
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16556703
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14417669
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14417669
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14417669
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14417669
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.21125081
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.21125081
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.21125081
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.21125081
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19154179
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19154179
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.19154179
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.19154179
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.22404337
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22404337
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22404337
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.22404337
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.19688043
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.19688043
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.19688043
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.19688043
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.08364585
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.08364585
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.21071662
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20812441
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.20812441
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.20812441
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2081244
